area,rooms,bathroom,parking spaces,floor,animal,furniture,total,city_Belo Horizonte,city_Campinas,city_Porto Alegre,city_Rio de Janeiro,city_São Paulo
200,4,4,2,8,1,1,6666,0,0,0,0,1
320,8,4,0,0,1,0,11460,0,0,0,0,1
90,2,1,1,2,0,0,2385,0,0,1,0,0
240,4,4,3,9,1,0,5506,0,0,0,0,1
154,4,3,3,21,1,0,9793,0,0,0,0,1
60,2,2,2,2,1,0,5895,0,0,0,0,1
101,3,2,0,5,1,0,3282,0,1,0,0,0
140,3,4,2,0,0,0,3145,0,0,1,0,0
500,4,5,8,0,1,0,17080,0,0,0,0,1
110,3,3,3,4,1,0,4262,0,0,0,0,1
110,3,3,2,0,1,0,4923,0,0,0,0,1
90,2,2,2,3,1,0,2311,1,0,0,0,0
384,4,6,4,3,0,1,19040,0,0,0,0,1
57,2,1,1,7,1,0,2157,0,0,0,0,1
160,3,3,2,5,1,1,3589,0,0,0,0,1
39,1,1,0,8,1,0,1615,0,0,0,0,1
78,1,2,1,4,1,0,2463,0,1,0,0,0
36,1,1,1,0,1,0,791,0,0,1,0,0
70,2,1,1,1,1,0,1774,0,1,0,0,0
45,1,1,1,4,0,1,3543,1,0,0,0,0
200,3,4,3,1,1,0,13360,0,0,0,0,1
100,3,3,3,0,1,0,4485,0,0,0,0,1
42,1,1,1,14,0,0,5064,0,0,0,0,1
280,4,4,1,1,1,1,11390,0,0,0,0,1
28,1,1,1,13,0,1,3493,0,0,0,0,1
30,1,1,0,0,0,1,2176,0,0,0,0,1
85,3,2,1,1,1,0,1945,1,0,0,0,0
83,1,1,1,4,0,0,1653,0,1,0,0,0
85,3,2,2,16,1,1,4042,0,1,0,0,0
90,3,2,2,3,1,0,2052,1,0,0,0,0
50,2,1,0,5,1,0,1012,1,0,0,0,0
50,1,1,0,8,1,0,3672,0,0,0,1,0
300,3,2,3,0,0,0,7349,1,0,0,0,0
39,1,1,0,7,1,0,1240,0,0,1,0,0
750,4,4,6,0,1,0,17310,0,0,0,0,1
60,2,1,0,1,1,0,1385,0,0,1,0,0
68,2,1,0,4,0,0,2026,0,0,0,1,0
70,2,1,1,0,1,0,1546,0,0,0,0,1
90,2,2,1,6,1,1,7572,0,0,0,0,1
258,5,6,0,0,1,0,9503,0,0,0,1,0
200,2,2,6,0,1,0,4860,0,0,0,0,1
123,2,2,2,6,1,0,5453,0,0,0,0,1
127,3,2,2,0,1,1,2470,0,0,0,0,1
180,4,2,2,0,1,0,2040,1,0,0,0,0
110,3,2,0,0,0,0,3328,0,0,0,0,1
70,2,2,1,7,1,1,2404,0,0,0,1,0
35,1,1,1,8,1,1,3889,0,0,0,0,1
219,3,2,2,0,1,0,3094,0,0,0,0,1
25,1,1,0,0,1,0,760,0,0,0,1,0
170,4,5,0,10,1,0,9031,0,0,0,1,0
45,1,1,0,8,1,0,2589,0,0,0,1,0
420,4,4,2,0,0,0,7315,1,0,0,0,0
46,1,1,0,4,1,0,1104,0,0,1,0,0
145,3,3,2,1,1,1,7212,0,0,0,0,1
59,2,2,1,2,1,0,1364,1,0,0,0,0
225,4,3,0,8,1,0,9916,1,0,0,0,0
210,4,4,3,3,1,0,8115,0,0,0,0,1
76,1,1,0,0,1,0,1529,0,0,1,0,0
220,3,4,3,2,0,0,8966,0,0,0,0,1
109,3,2,2,7,1,0,4412,0,0,0,0,1
95,2,1,1,3,1,0,1780,1,0,0,0,0
32,1,1,0,0,0,0,1850,0,0,0,0,1
53,1,1,1,3,1,0,5340,0,0,0,0,1
40,1,1,0,0,0,0,809,0,0,0,0,1
50,1,1,1,4,1,1,3864,0,0,0,0,1
60,1,1,0,0,1,0,1575,0,0,0,0,1
64,2,2,2,7,0,0,2022,0,0,1,0,0
140,3,3,2,4,1,1,14970,0,0,0,1,0
121,3,3,1,12,1,0,3200,0,0,0,0,1
43,1,1,1,4,1,1,2709,0,1,0,0,0
20,1,1,1,3,0,1,3078,0,0,0,0,1
58,2,1,1,3,1,0,1263,0,1,0,0,0
570,5,6,7,0,1,1,9340,1,0,0,0,0
88,2,1,1,2,1,0,3806,0,0,0,0,1
89,3,2,2,19,1,0,7161,0,0,0,0,1
40,1,1,0,0,1,0,1167,0,0,0,0,1
40,1,1,0,1,1,1,2453,0,0,0,1,0
60,1,2,1,3,1,0,1240,0,0,0,1,0
25,1,1,0,14,1,0,1928,0,0,0,0,1
50,2,1,0,13,1,0,1517,0,0,1,0,0
90,3,1,0,1,1,0,1347,0,0,1,0,0
173,3,3,3,2,1,0,5851,0,0,0,0,1
91,3,2,2,12,1,0,3154,0,1,0,0,0
90,3,2,2,6,0,0,3035,0,0,0,0,1
40,1,1,0,0,0,0,1317,0,0,0,0,1
296,4,5,3,3,1,0,15190,0,0,0,0,1
87,3,2,1,17,1,0,2468,0,0,0,0,1
300,3,3,5,0,1,0,5660,0,0,0,0,1
136,3,3,3,13,1,0,6054,0,0,0,0,1
52,2,1,0,4,1,0,1357,0,0,0,0,1
94,2,2,2,8,1,0,3773,0,0,1,0,0
300,4,5,3,7,1,0,17520,0,0,0,1,0
100,3,3,1,3,1,0,4221,0,0,0,1,0
500,4,6,3,0,1,0,16410,0,0,0,0,1
240,3,4,3,3,1,1,9613,0,0,0,0,1
308,2,3,3,0,1,0,2204,1,0,0,0,0
350,4,5,4,15,1,1,8683,0,0,0,0,1
75,2,2,0,2,1,0,2039,0,0,0,0,1
155,3,2,3,4,1,1,15120,0,0,0,0,1
260,3,5,4,12,1,0,9772,0,0,0,0,1
80,2,2,1,0,0,0,1707,0,0,0,0,1
85,3,1,1,6,1,0,2921,0,0,0,1,0
120,2,2,2,22,0,1,5320,0,0,0,0,1
100,2,2,1,0,1,0,2000,0,0,0,0,1
240,4,5,4,6,0,0,6131,0,0,0,0,1
360,7,6,6,0,1,0,5595,0,0,0,0,1
42,1,1,0,0,0,0,1117,0,0,0,0,1
33,1,1,1,14,1,1,3548,0,0,0,0,1
48,1,1,0,1,0,0,1713,0,0,0,1,0
36,1,1,0,5,1,0,1537,0,0,0,1,0
270,6,3,6,0,1,0,4985,0,0,0,0,1
75,2,1,1,2,1,0,2007,0,1,0,0,0
46,2,1,0,3,0,0,1891,0,0,0,1,0
350,3,3,3,0,0,0,11440,0,0,0,0,1
131,3,3,1,10,1,1,3522,0,0,1,0,0
90,3,2,1,3,1,0,2366,0,1,0,0,0
26,1,1,0,4,0,0,2182,0,0,0,1,0
44,1,1,0,3,1,1,1529,0,0,0,1,0
70,2,2,0,0,1,0,1909,0,0,0,0,1
40,1,1,0,0,0,0,915,1,0,0,0,0
320,4,2,4,0,1,0,3459,1,0,0,0,0
213,2,2,3,0,1,0,5228,0,0,0,0,1
80,2,1,0,1,0,0,1114,0,0,0,0,1
70,1,1,0,6,1,0,1341,0,1,0,0,0
60,2,1,1,5,1,0,2235,0,0,0,1,0
270,4,4,4,5,1,0,19350,0,0,0,0,1
70,2,1,1,3,1,0,2161,0,0,0,1,0
300,6,2,2,0,1,0,6349,0,0,1,0,0
220,4,5,3,14,1,1,14950,0,0,0,0,1
64,2,2,2,7,1,0,2108,0,0,1,0,0
80,3,3,1,7,0,0,2589,0,0,0,1,0
56,1,1,0,9,1,1,3238,0,0,0,0,1
161,4,3,2,1,1,0,12040,0,0,0,0,1
35,1,1,0,0,1,0,1718,0,0,0,0,1
720,4,6,5,0,1,1,15560,0,0,0,0,1
280,4,5,4,6,0,0,6491,0,0,0,0,1
96,3,2,0,2,1,0,2623,0,0,1,0,0
236,3,4,4,10,1,0,13180,0,1,0,0,0
81,3,2,1,4,1,0,1734,0,0,0,0,1
62,2,1,1,1,1,0,2343,0,0,0,0,1
125,3,2,0,2,1,0,1435,1,0,0,0,0
37,1,1,1,6,1,1,5203,0,0,0,0,1
60,2,2,1,11,1,0,5931,0,0,0,0,1
230,4,2,3,1,1,0,10220,0,0,0,0,1
210,4,5,2,1,1,1,12410,0,0,0,0,1
450,4,3,8,0,1,0,14390,0,0,0,0,1
234,3,5,4,0,1,1,4136,0,0,0,0,1
135,4,3,2,2,0,0,3659,1,0,0,0,0
395,4,5,3,0,1,0,6213,0,0,0,0,1
92,2,2,1,2,1,0,2242,0,0,1,0,0
412,3,5,6,21,1,0,6462,0,0,0,0,1
42,1,1,1,27,1,0,6028,0,0,0,0,1
33,1,1,0,12,0,1,3549,0,0,0,0,1
190,4,4,2,0,0,0,4740,0,0,0,0,1
165,4,3,3,10,1,1,10110,0,0,0,0,1
44,1,1,0,5,1,0,1593,0,0,1,0,0
60,2,1,1,4,1,0,2004,0,0,0,0,1
380,3,3,2,1,1,0,15800,0,0,0,0,1
73,2,1,0,4,1,0,1336,0,0,0,1,0
19,1,1,0,5,1,0,1820,1,0,0,0,0
230,3,5,4,6,1,0,9396,0,1,0,0,0
37,1,1,1,2,1,0,3037,0,0,1,0,0
124,3,2,3,7,1,0,8434,0,0,0,0,1
115,3,2,1,8,1,1,3919,0,0,0,1,0
600,3,3,4,0,1,0,5967,0,1,0,0,0
700,5,5,4,0,1,1,18280,0,0,0,1,0
35,1,1,0,1,1,0,944,0,0,1,0,0
15,1,1,0,3,0,1,1115,1,0,0,0,0
80,3,2,1,2,1,0,2164,0,1,0,0,0
48,1,1,0,4,1,0,949,0,0,1,0,0
96,3,2,1,2,1,0,2579,1,0,0,0,0
150,3,2,1,7,1,1,8984,0,0,0,0,1
105,3,2,2,2,0,0,5415,1,0,0,0,0
204,4,4,4,22,0,1,13600,1,0,0,0,0
125,3,1,2,11,1,0,4120,0,0,0,1,0
50,2,1,0,3,0,0,2870,0,0,0,1,0
250,3,4,3,0,0,0,4031,0,0,0,0,1
300,3,4,3,7,1,1,6276,0,0,0,0,1
80,2,1,1,0,1,0,1578,0,0,0,0,1
130,3,4,1,2,0,0,2953,0,0,0,1,0
120,2,3,0,2,1,0,4441,0,0,0,0,1
23,1,1,0,23,1,0,2560,0,0,0,0,1
15,1,1,0,0,0,1,2532,0,0,0,0,1
72,1,2,2,19,1,0,5151,0,0,0,0,1
95,3,2,2,7,1,0,3437,0,0,0,1,0
330,4,5,4,13,1,0,14120,0,0,0,0,1
75,2,2,2,7,0,1,8684,0,0,0,0,1
53,1,1,1,4,1,0,5344,0,0,0,0,1
178,3,2,1,2,0,0,3305,0,0,0,0,1
150,3,2,0,0,1,0,4085,0,0,0,0,1
50,2,1,1,4,1,0,1766,0,0,0,0,1
150,3,2,1,0,0,0,2597,0,0,0,0,1
25,1,1,0,0,1,1,1296,0,0,1,0,0
210,3,4,4,13,0,0,16460,0,0,0,0,1
75,3,2,1,4,1,0,2195,1,0,0,0,0
200,2,4,3,12,1,0,17920,1,0,0,0,0
350,4,4,0,0,1,0,9110,0,0,0,0,1
49,2,1,1,7,1,0,1557,0,0,1,0,0
40,1,1,0,4,0,1,2030,0,0,1,0,0
45,1,1,1,2,0,1,6504,0,0,0,0,1
46,1,1,1,8,0,1,8715,0,0,0,0,1
80,2,2,2,15,1,0,13140,0,0,0,0,1
30,1,1,0,3,1,1,3287,0,0,0,0,1
80,2,2,2,0,1,0,2457,0,0,0,0,1
105,2,2,1,10,1,0,3464,0,0,0,1,0
105,3,2,2,7,1,0,3416,1,0,0,0,0
114,3,1,0,0,1,0,2759,0,0,0,0,1
200,3,3,4,0,1,0,7531,0,0,0,0,1
120,3,3,2,5,1,0,4011,0,0,1,0,0
60,2,2,1,11,1,0,4719,0,0,0,0,1
90,2,1,1,1,1,0,4089,0,0,0,0,1
53,2,1,0,3,0,0,2409,0,0,0,1,0
80,2,2,5,0,1,0,3105,0,0,0,0,1
87,4,2,2,4,1,0,2511,0,1,0,0,0
110,3,1,1,1,1,0,5810,0,0,0,1,0
113,4,2,1,3,1,0,6070,1,0,0,0,0
170,3,2,2,5,0,0,7686,0,0,0,0,1
150,3,2,0,1,0,0,3781,0,0,0,0,1
60,2,2,1,11,1,0,2042,0,0,1,0,0
43,1,1,0,4,0,1,2487,0,0,1,0,0
130,3,2,2,4,1,1,4345,0,0,0,0,1
69,3,2,0,7,1,1,2760,0,0,0,0,1
306,3,2,2,0,1,0,2960,0,1,0,0,0
187,3,2,3,0,1,0,4246,0,0,0,0,1
385,3,4,3,0,1,0,10640,0,0,0,0,1
355,4,4,3,0,1,0,8070,0,0,0,0,1
90,2,1,1,2,1,0,1902,0,0,1,0,0
190,3,4,4,0,1,0,5351,0,0,0,0,1
181,2,1,2,0,1,0,1554,0,1,0,0,0
350,3,5,4,13,1,0,9285,0,0,0,0,1
168,5,3,2,2,1,0,4790,1,0,0,0,0
73,2,1,0,1,1,0,4641,0,0,0,1,0
378,5,5,4,4,1,0,9039,0,0,0,0,1
60,2,1,1,0,1,0,1500,0,1,0,0,0
90,3,2,0,0,1,0,1862,0,0,0,0,1
42,1,1,0,4,0,1,2578,0,0,0,1,0
56,2,1,1,18,1,0,1669,0,0,0,1,0
16,1,1,0,1,0,0,891,0,0,0,0,1
90,2,2,2,15,0,1,11530,0,0,0,0,1
67,1,1,0,13,1,0,1292,1,0,0,0,0
30,1,1,0,10,1,0,2025,0,0,0,1,0
290,6,3,4,0,1,0,9646,0,0,0,0,1
266,3,3,4,10,1,0,12680,0,0,0,0,1
47,2,1,1,4,1,0,1197,0,1,0,0,0
590,6,6,2,0,1,1,9847,0,0,0,1,0
86,2,1,1,0,1,0,2344,0,0,0,0,1
290,3,3,2,0,1,1,16230,0,0,0,0,1
84,3,2,2,4,1,0,4199,0,0,1,0,0
160,3,1,2,0,1,0,5301,0,0,0,0,1
37,1,1,0,3,0,1,4142,0,0,0,0,1
73,3,1,1,4,1,0,1215,0,1,0,0,0
350,4,5,5,17,1,1,19990,0,0,0,0,1
57,1,1,0,2,1,0,1325,0,0,0,1,0
48,1,1,0,9,1,0,1030,0,1,0,0,0
30,1,1,0,8,1,0,1226,0,0,0,1,0
198,6,3,4,0,1,0,2176,0,1,0,0,0
47,1,1,0,2,0,0,1374,0,0,1,0,0
60,2,1,1,3,1,0,1084,0,0,1,0,0
230,3,3,0,9,1,1,6873,0,0,0,0,1
90,2,1,1,0,0,0,1545,1,0,0,0,0
129,3,2,1,8,1,1,4664,0,0,0,1,0
240,4,4,4,22,1,0,9154,0,0,0,0,1
55,1,1,0,14,1,0,1764,0,0,1,0,0
52,1,1,0,0,1,0,1410,0,0,1,0,0
250,3,4,3,8,1,0,8776,0,0,0,0,1
200,3,2,2,19,1,0,13820,0,0,0,0,1
312,4,3,3,1,1,0,4292,1,0,0,0,0
230,5,5,3,0,1,0,10670,0,0,0,0,1
72,2,2,2,9,1,0,3471,0,0,0,0,1
55,2,1,0,5,1,1,3075,0,0,0,0,1
72,2,2,1,2,0,1,4694,0,0,0,1,0
50,2,1,0,0,1,0,1302,0,0,0,0,1
17,1,1,0,1,1,0,2740,0,0,0,0,1
160,3,3,2,4,1,0,2845,1,0,0,0,0
214,4,4,3,5,1,0,10430,0,0,0,0,1
65,1,1,0,0,1,0,2154,0,0,0,1,0
136,3,2,1,10,0,1,8114,0,0,0,0,1
70,2,2,1,6,1,0,2425,0,0,1,0,0
38,1,1,0,2,1,0,1350,0,0,1,0,0
450,8,5,5,0,1,0,9121,0,0,0,0,1
67,2,1,1,2,1,0,3576,0,0,0,1,0
20,1,1,0,1,0,0,1149,0,0,0,0,1
41,1,1,0,12,1,0,1900,0,0,0,0,1
50,2,1,1,7,1,0,2077,0,0,0,0,1
205,3,3,3,0,1,0,6184,0,0,0,0,1
100,3,2,1,0,1,0,3850,0,0,0,0,1
190,3,4,4,16,1,1,19200,0,0,0,0,1
45,2,1,0,0,1,0,1373,1,0,0,0,0
57,1,1,1,2,1,0,1482,0,1,0,0,0
88,1,2,2,3,1,0,2004,0,0,1,0,0
70,1,1,1,10,1,1,3983,0,0,0,0,1
76,2,2,0,11,1,1,3482,0,0,0,0,1
36,1,1,0,10,1,0,1867,0,0,0,1,0
61,2,2,2,11,1,0,3024,0,0,1,0,0
280,4,3,6,0,1,1,13390,0,0,0,0,1
480,5,6,3,0,1,0,6076,0,0,0,0,1
45,1,1,1,17,1,1,1975,0,1,0,0,0
42,1,1,0,9,1,1,2994,0,0,0,0,1
62,2,1,0,4,1,0,1127,0,0,1,0,0
38,2,1,0,2,1,0,1610,0,0,0,0,1
44,1,1,1,8,0,1,3009,0,0,0,0,1
75,3,2,2,11,1,0,3633,0,0,0,0,1
66,2,1,1,2,1,0,1917,0,0,0,1,0
125,3,3,2,0,1,0,2881,0,0,0,0,1
62,2,1,2,7,1,0,2219,0,1,0,0,0
77,2,1,1,5,1,0,4752,0,0,0,0,1
136,2,4,2,7,1,0,6643,0,0,0,0,1
200,4,2,1,5,1,0,7507,0,0,0,0,1
35,1,1,0,1,0,0,1572,0,0,0,0,1
250,4,3,2,0,1,1,4678,0,0,0,0,1
90,2,2,2,0,1,1,4162,0,0,0,0,1
72,2,2,1,7,1,0,1350,0,1,0,0,0
168,3,3,5,16,1,0,5404,0,0,0,0,1
360,3,4,3,5,1,1,17890,0,0,1,0,0
38,1,1,1,9,1,0,1280,0,1,0,0,0
23,1,1,1,26,1,0,2876,0,0,0,0,1
440,3,3,3,7,0,0,10840,0,0,1,0,0
120,3,3,2,9,1,1,4854,0,0,0,0,1
90,2,2,0,5,1,0,3447,0,0,0,1,0
125,4,2,0,7,1,0,2802,0,0,1,0,0
200,3,4,3,6,1,1,8123,0,0,0,0,1
190,3,3,2,5,1,0,5394,0,0,0,0,1
123,3,2,1,3,1,0,3141,1,0,0,0,0
53,2,1,1,0,1,0,2351,0,1,0,0,0
70,2,1,1,2,1,0,2829,0,0,0,1,0
90,2,2,2,17,1,1,14310,0,0,0,0,1
95,3,2,0,0,1,0,1614,0,0,0,0,1
74,3,1,1,4,1,0,1426,0,1,0,0,0
64,1,1,1,15,0,0,4266,0,0,0,0,1
155,4,5,3,14,0,0,8552,0,0,0,0,1
125,3,1,2,3,0,0,3388,0,0,0,1,0
40,1,1,1,9,1,1,1976,0,0,0,0,1
350,3,2,4,0,1,1,7130,0,0,1,0,0
417,3,5,8,0,1,0,8226,1,0,0,0,0
350,4,4,4,0,1,0,6299,0,0,1,0,0
40,1,1,1,8,0,0,3376,0,0,0,0,1
30,1,1,1,15,0,1,4340,0,0,0,0,1
142,3,4,2,4,1,0,6033,0,0,0,0,1
110,3,3,2,5,1,1,5659,0,0,1,0,0
100,4,4,1,0,1,0,10160,0,0,0,0,1
377,5,4,3,0,1,0,9021,0,0,0,0,1
230,2,3,3,17,1,1,11310,0,0,0,0,1
35,1,1,0,5,0,1,2348,0,0,0,0,1
32,1,1,1,16,1,0,3470,0,0,0,0,1
74,2,1,1,5,1,0,2672,0,0,0,0,1
147,2,3,4,19,1,0,4191,0,0,0,0,1
35,1,1,0,3,1,1,3072,0,0,0,0,1
26,1,1,0,7,1,1,2234,0,0,0,1,0
70,2,2,1,5,1,1,2244,0,0,0,0,1
